team,ncaa_id,division,url
Arizona St.,593881,I,https://thesundevils.com/sports/lacrosse
Central Conn. St.,593893,I,https://ccsubluedevils.com/sports/wlax/index
Cincinnati,593895,I,https://gobearcats.com/sports/womens-lacrosse
George Mason,593916,I,https://gomason.com/sports/womens-lacrosse
Old Dominion,593975,I,https://odusports.com/sports/womens-lacrosse
Penn St.,593978,I,https://gopsusports.com/sports/womens-lacrosse
San Diego St.,593995,I,https://goaztecs.com/sports/womens-lacrosse
Virginia Tech,594019,I,https://hokiesports.com/sports/lacrosse
Stanford,594082,I,https://gostanford.com/sports/womens-lacrosse
